ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
HillGr01  ,1997,Grant,Hill,east,N,1,28,15.0,3.0,0.0,3.0,5.0,1.0,0.0,0.0,1.0,11.0,7.0,0.0,0.0,1.0,1.0
HillGr01  ,1996,Grant,Hill,east,N,1,22,11.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,7.0,4.0,4.0,3.0,0.0,0.0
HillGr01  ,1995,Grant,Hill,east,N,1,26,14.0,nan,nan,3.0,2.0,nan,nan,nan,nan,10.0,6.0,2.0,2.0,nan,nan
HillGr01  ,1994,Grant,Hill,east,N,1,20,10.0,nan,nan,0.0,3.0,nan,nan,nan,nan,8.0,5.0,0.0,0.0,nan,nan
HillTy01  ,1994,Tyrone,Hill,east,N,1,6,2.0,nan,nan,4.0,0.0,nan,nan,nan,nan,1.0,1.0,0.0,0.0,nan,nan
HolliLi01 ,1977,Lionel,Hollins,west,N,1,23,10.0,nan,nan,0.0,8.0,nan,nan,nan,nan,8.0,3.0,5.0,4.0,nan,nan
HornaJe01 ,1991,Jeff,Hornacek,west,N,1,24,11.0,nan,nan,2.0,3.0,nan,nan,nan,nan,7.0,5.0,0.0,0.0,nan,nan
HoustAl01 ,2000,Allan,Houston,east,N,1,15,5.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,2.0,1.0
HoustAl01 ,1999,Allan,Houston,east,N,1,18,11.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,10.0,3.0,4.0,4.0,3.0,1.0
HowarJu01 ,1995,Juwan,Howard,east,N,1,16,2.0,nan,nan,6.0,2.0,nan,nan,nan,nan,5.0,1.0,0.0,0.0,nan,nan
HowelBa01 ,1965,Bailey,Howell,west,N,1,26,7.0,nan,nan,2.0,2.0,nan,nan,nan,nan,11.0,3.0,2.0,1.0,nan,nan
HowelBa01 ,1966,Bailey,Howell,east,N,1,14,4.0,nan,nan,2.0,1.0,nan,nan,nan,nan,4.0,1.0,2.0,2.0,nan,nan
HowelBa01 ,1963,Bailey,Howell,west,N,1,6,2.0,nan,nan,2.0,0.0,nan,nan,nan,nan,3.0,1.0,0.0,0.0,nan,nan
HowelBa01 ,1962,Bailey,Howell,west,N,1,11,4.0,nan,nan,1.0,1.0,nan,nan,nan,nan,3.0,2.0,0.0,0.0,nan,nan
HowelBa01 ,1961,Bailey,Howell,west,N,1,8,2.0,nan,nan,0.0,1.0,nan,nan,nan,nan,2.0,1.0,0.0,0.0,nan,nan
HowelBa01 ,1960,Bailey,Howell,west,N,1,16,13.0,nan,nan,3.0,3.0,nan,nan,nan,nan,10.0,5.0,4.0,3.0,nan,nan
HudsoLo01 ,1973,Lou,Hudson,east,N,1,17,12.0,nan,nan,3.0,1.0,nan,nan,nan,nan,8.0,5.0,2.0,2.0,nan,nan
HudsoLo01 ,1972,Lou,Hudson,east,N,1,9,6.0,nan,nan,2.0,0.0,nan,nan,nan,nan,8.0,2.0,2.0,2.0,nan,nan
HudsoLo01 ,1971,Lou,Hudson,east,N,1,18,6.0,nan,nan,3.0,3.0,nan,nan,nan,nan,7.0,2.0,2.0,2.0,nan,nan
HudsoLo01 ,1970,Lou,Hudson,east,N,1,17,14.0,nan,nan,3.0,1.0,nan,nan,nan,nan,13.0,6.0,3.0,2.0,nan,nan
HudsoLo01 ,1969,Lou,Hudson,west,N,1,18,15.0,nan,nan,1.0,0.0,nan,nan,nan,nan,12.0,5.0,5.0,5.0,nan,nan
HudsoLo01 ,1968,Lou,Hudson,west,N,1,20,13.0,nan,nan,1.0,1.0,nan,nan,nan,nan,13.0,6.0,1.0,1.0,nan,nan
HundlRo01 ,1959,Ron,Hundley,west,N,1,23,10.0,nan,nan,3.0,2.0,nan,nan,nan,nan,12.0,5.0,0.0,0.0,nan,nan
HundlRo01 ,1960,Rod,Hundley,west,N,1,14,14.0,nan,nan,0.0,2.0,nan,nan,nan,nan,10.0,6.0,2.0,2.0,nan,nan
HunteLe01 ,1967,Les,Hunter,east,A,1,21,7.0,2.0,6.0,8.0,1.0,nan,nan,4.0,4.0,7.0,2.0,5.0,3.0,0.0,0.0
HunteLe01 ,1968,Les,Hunter,east,A,1,22,12.0,4.0,2.0,6.0,0.0,nan,nan,2.0,3.0,10.0,5.0,2.0,2.0,0.0,0.0
HutchMe01 ,1956,Mel,Hutchins,west,N,1,26,10.0,nan,nan,7.0,0.0,nan,nan,nan,nan,12.0,4.0,3.0,2.0,nan,nan
HutchMe01 ,1955,Mel,Hutchins,west,N,1,27,11.0,nan,nan,4.0,0.0,nan,nan,nan,nan,11.0,5.0,2.0,1.0,nan,nan
HutchMe01 ,1953,Mel,Hutchins,west,N,1,31,3.0,nan,nan,4.0,2.0,nan,nan,nan,nan,8.0,1.0,2.0,1.0,nan,nan
